DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
71759,RED DE INGENIERIA S.A.S.,804012847-1,70,SUCRE,70400,LA UNION,70400006,VEREDA BOCANEGRA,DESCONECTADA,"8,85583000","-75,32167000",2019-12-04,2021-09-03,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71100,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15293,GACHANTIVA,15293000,SAAVEDRA DE RONCANCIOS,DESCONECTADA,"5,69889000","-73,53611000",2019-12-08,2021-09-07,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72539,EMTEL,891502163-1,44,LA GUAJIRA,44847,URIBIA,44847000,C CERRO DE LA TETA,DESCONECTADA,"11,69098000","-71,92512000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,665,"36,96",2,10,"119630563,20"
71622,RED DE INGENIERIA S.A.S.,804012847-1,66,RISARALDA,66075,BALBOA,66075000,LA FLORESTA,DESCONECTADA,"4,91917000","-75,98222000",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71695,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68444,MATANZA,68444000,VEREDA EL AVENTINO,DESCONECTADA,"7,29972000","-73,09778000",2020-01-22,2021-10-21,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71702,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68549,PINCHOTE,68549000,EL BOSQUE,DESCONECTADA,"6,50944000","-73,15389000",2019-12-06,2021-09-05,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71992,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76834,TULUA,76834019,SAN LORENZO,DESCONECTADA,"3,97056000","-76,08000000",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72453,EMTEL,891502163-1,19,CAUCA,19418,LOPEZ,19418000,VEREDA BELEN DE IGUANA,DESCONECTADA,"3,00250000","-77,40433000",2020-10-03,2022-06-30,2022-10-30,2022-12-31,4901,"193,00",32,10,"119630563,20"
71451,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41244,ELIAS,41244002,ORITOGUAZ,DESCONECTADA,"1,98694000","-76,01250000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71563,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52612,RICAURTE,52612008,VEREDA CHAMBU,DESCONECTADA,"1,22444000","-78,04167000",2022-02-01,2022-06-30,2022-10-30,2022-12-31,3792,"432,31",93,9,"27692260,00"
71573,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54003,ABREGO,54003001,CORREGIMIENTO CAPIT�N LARGO,DESCONECTADA,"8,02389000","-73,24333000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72161,RED DE INGENIERIA S.A.S.,804012847-1,23,CORDOBA,23417,LORICA,23417007,CORREG NARI�O Y PALO DE AGUA,DESCONECTADA,"9,16777778","-75,83722222",2020-08-18,2022-02-17,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71744,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68861,VELEZ,68861000,VEREDA LA DOCTRINA,DESCONECTADA,"5,95500000","-73,66638889",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71548,RED DE INGENIERIA S.A.S.,804012847-1,52,NARI�O,52001,PASTO,52001000,SANTA ISABEL,DESCONECTADA,"1,14139000","-77,21639000",2019-12-16,2021-09-15,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71680,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68406,LEBRIJA,68406013,VEREDA CONCHAL,DESCONECTADA,"7,28250000","-73,26250000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71605,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54743,SILOS,54743002,BEL�N,DESCONECTADA,"7,16111000","-72,74444000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71246,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19622,ROSAS,19622001,GUALOTO,DESCONECTADA,"2,24500000","-76,68083000",2020-04-03,2022-01-02,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72318,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73268,ESPINAL,73268000,LA JOYA,DESCONECTADA,"4,20194444","-74,91500000",2020-08-22,2022-02-21,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71235,RED DE INGENIERIA S.A.S.,804012847-1,19,CAUCA,19517,PAEZ,19517019,VITONCO,DESCONECTADA,"2,72027000","-75,91861000",2020-07-06,2022-04-05,2022-10-30,2022-12-31,191,"31,25",5,9,"27007797,00"
71305,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20001,VALLEDUPAR,20001006,CHEMESQUEMENA,DESCONECTADA,"10,01694000","-73,63278000",2019-12-05,2021-09-04,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72476,EMTEL,891502163-1,27,CHOCO,27050,ATRATO,27050003,SAMURINDO,DESCONECTADA,"5,61611100","-76,64389000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,2072,"70,44",12,10,"119630563,20"
71592,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54261,EL ZULIA,54261002,VEREDA CERRO GONZALEZ,DESCONECTADA,"8,27028000","-72,58694000",2019-12-02,2021-09-01,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72356,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76890,YOTOCO,76890002,DORADO,DESCONECTADA,"3,84805556","-76,43833333",2020-08-08,2022-02-07,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72535,EMTEL,891502163-1,95,GUAVIARE,95025,EL RETORNO,95025003,CERRITOS,DESCONECTADA,"2,32400000","-72,75650000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,446,"11,08",1,10,"119630563,20"
71816,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73168,CHAPARRAL,73168005,LA MARINA,DESCONECTADA,"3,82889000","-75,43306000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72187,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25875,VILLETA,25875001,VEREDA CUNE,DESCONECTADA,"5,03444444","-74,50222222",2020-08-07,2022-02-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
